P41338 Q9UQW6
Q04311 O74977
P38703 O59735
P36142 Q09906
P20485 Q10276
P41814 Q9HGL4
Q12071 O14093
Q08920 Q9P383
P28263 Q9P7R4
P10081 P47943
P38287 Q9UT67
P14284 Q9P6L6
P12866 P78966
P0C2H6 O14388
P40525 Q9URT8
Q08650 O74850
P32598 P13681
P20081 O42993
Q03784 O43041
P17076 O13672
P40074 O74327
Q12500 O13943
Q06147 O14159
P00360 P78958
P54860 Q9HE05
P04456 O74391
Q01855 O94715
P26321 O74306
P33331 Q10100
P48589 O14062
Q08651 O74959
P14127 O42984
P06169 Q09737
P26263 O42873
P80210 Q02787
P41816 Q09671
P32842 Q9URZ8
P05743 P78946
P35842 Q01682
P24031 P08091
P38124 Q10487
P53111 Q9UT59
P40884 Q9P6J3
P40468 Q9HDV6
Q04636 O94529
P02406 P36585
P46990 O14339
P38913 O74841
Q03778 O74866
P38164 Q09866
P12689 O94623
P28274 O42644
P38191 Q9URW3
P32452 O14361
P32580 O94445
Q08924 Q9USZ0
P32479 P87314
P38120 O14006
P23255 P87121
P53739 Q09831
P48365 Q9UUH7
P32770 O13801
P06243 P50582
Q06683 Q1MTR1
Q03327 Q9UTF8
P39993 Q9P7R8
P40032 Q11120
P53266 Q9Y810
P40481 Q9UTQ8
P40360 O94330
Q00618 O94412
P40985 O94275
P34078 Q10191
P36097 O94600
P36165 Q9Y827
Q12347 O74531
Q06698 O94536
P53759 Q9HGN6
Q04958 Q9USJ4
P30620 Q10264
P28519 O59753
P36520 Q9Y7M5
P32491 Q9Y884
P14906 Q9HGN7
P39073 O13958
P32795 O59824
Q06102 Q9UTD1
P32907 O14201
P16387 Q10489
P06245 P40376
P40347 P41893
P42839 Q9P7B3
P36062 Q10074
P38836 O74818
P38166 Q9P6K1
P39966 Q09173
P35178 Q9Y7M6
P06844 O14311
P48563 Q09853
P40009 Q9USP2
P43621 O74496
P38879 P87147
P07260 P78954
P25378 O94363
P17255 P31406
P35207 O59801
P19073 Q01112
P21576 Q9URZ5
P50077 O14234
P23561 P28829
Q01846 Q9USN1
P27514 O59712
P53727 O74860
P0CX54 P0CT84
Q02753 Q9UUC1
P05756 P28189
P00942 P07669
Q02821 O14063
Q12251 Q8TFH2
P40581 O59858
P38903 Q10428
P0C0W1 P0CT59
P41056 Q9USX4
Q03048 P78929
P25293 O59797
P38902 P87123
P22139 O13877
P0CG63 P0CG72
P17709 P50521
P04161 Q9UUK7
P32902 O13970
P40454 O36016
P35728 O94264
Q07830 O13663
Q12090 Q9P7H2
Q04372 Q9Y7T1
Q05022 O74835
P49960 Q9USY2
P04046 P41390
P07281 P79016
P48562 Q10056
P40343 O13821
Q12149 Q10146
Q04174 Q09837
Q02776 O13636
Q00684 Q9P7H1
P0C2H9 Q9URX6
Q99385 O59768
P0CX40 Q9P7B2
P53009 Q9P7X5
P00045 P00046
P40335 Q10243
P41805 Q09127
Q07350 Q9P7L8
P40341 Q9HGM3
P53091 P49731
P40528 Q9UU86
P40087 Q10256
Q04373 Q9UU76
P40367 Q09782
P38182 O94272
P38342 Q9Y7P2
P02309 P09322
P04912 P04909
P06786 P08096
P53839 O14075
P02294 P04913
P40035 Q9P7V8
P33317 Q9P6Q5
Q06338 O74907
P12904 Q10343
P17119 Q9US03
P38112 O74393
P25582 O42832
P25038 O59683
P20448 Q9UTP9
P53743 O74362
P32783 O74880
P36013 P40375
P40029 Q09859
Q03503 O74311
Q04740 Q9UST8
Q07530 Q1MTR7
P22579 Q09750
P32906 Q9P7C3
P32911 P79060
P22007 O13782
P05739 P79071
P21147 O94523
P27882 O14144
P39727 Q09895
P39730 Q10251
P31380 O74842
P38042 P10505
P38181 Q9URX8
P34222 O13830
P38121 O74946
P32319 O42930
P38237 Q11119
P20486 P08463
P38344 O59811
P10862 O74747
Q99207 O43051
P43122 O94710
P33333 Q9US20
P38961 Q10257
P06101 O94740
Q05584 Q9UT36
Q05521 Q9UUA6
Q06631 Q9US05
Q06632 O74733
Q06680 Q10429
Q06344 O74828
P39904 Q9UST3
Q02197 Q9USY3
P37303 O13940
P32626 Q9P6Q2
P03962 P14965
P39968 O43028
P33767 O59866
P40010 O74791
P32263 Q9P7Y7
P38682 Q10367
P40094 Q9Y7Z4
P53064 O94667
P53067 Q10297
P30777 Q9USN0
Q01159 P40997
P46672 Q9P6K7
P40957 P87169
P53008 O14255
P41896 O94424
P38972 O14228
P12754 Q09924
P53255 Q10414
P53264 O14249
P42826 Q9C0U6
P53313 Q10342
P38747 Q9UUK3
P38753 O74749
P38754 O94238
P38759 Q9UTI5
P38806 O42871
P38817 P87157
P38822 Q09746
P38860 Q9UT06
P38863 Q9Y705
P40460 Q10198
P40471 Q09851
P32844 O74846
P40185 O43003
P42945 O60179
P06105 O59810
P40362 P78750
P14907 Q10168
P41543 Q10176
P47083 O13910
P46957 P87324
P40352 Q9UR24
P21374 O74370
P47143 P78825
P00937 Q92370
Q86ZR7 O14165
P32892 Q09903
Q12019 O94248
Q12186 O74555
P13099 O60126
Q06132 O13971
Q12749 P53692
P32794 O60058
P35817 Q9Y7N0
Q04199 O13985
Q04500 P87137
Q04272 O94318
P49956 Q9USQ1
Q04217 Q9HDY4
Q03656 P36616
P48510 Q10169
P12753 Q9UTJ8
P23503 Q9Y7N7
P50942 O43001
P50947 O74736
P40991 O94268
P53959 O94677
P53730 Q9USD4
P53734 Q76PD3
P89105 O42668
Q99383 O94432
Q08208 O13741
Q12094 Q10409
Q08446 O59709
P41734 O74648
Q08601 O74477
Q08685 Q10299
P30624 O60135
Q99181 O14102
P54885 Q9UT44
P09064 P56329
P48582 O13783
Q02767 O13872
P37838 O74400
Q02642 Q92371
P37366 P36613
P32855 O74562
P32331 Q10248
Q06096 O74990
Q06103 Q10335
Q01454 Q9C107
P24482 O94263
P20435 P36595
P43550 O74215
