Q9UQW6	P41338
O74977	Q04311
O59735	P38703
Q09906	P36142
Q10276	P20485
Q9HGL4	P41814
O14093	Q12071
Q9P383	Q08920
Q9P7R4	P28263
P47943	P10081
Q9UT67	P38287
Q9P6L6	P14284
P78966	P12866
O14388	P0C2H6
Q9URT8	P40525
O74850	Q08650
P13681	P32598
O42993	P20081
O43041	Q03784
O13672	P17076
O74327	P40074
O13943	Q12500
O14159	Q06147
P78958	P00360
Q9HE05	P54860
O74391	P04456
O94715	Q01855
O74306	P26321
Q10100	P33331
O14062	P48589
O74959	Q08651
O42984	P14127
Q09737	P06169
O42873	P26263
Q02787	P80210
Q09671	P41816
Q9URZ8	P32842
P78946	P05743
Q01682	P35842
P08091	P24031
Q10487	P38124
Q9UT59	P53111
Q9P6J3	P40884
Q9HDV6	P40468
O94529	Q04636
P36585	P02406
O14339	P46990
O74841	P38913
O74866	Q03778
Q09866	P38164
O94623	P12689
O42644	P28274
Q9URW3	P38191
O14361	P32452
O94445	P32580
Q9USZ0	Q08924
P87314	P32479
O14006	P38120
P87121	P23255
Q09831	P53739
Q9UUH7	P48365
O13801	P32770
P50582	P06243
Q1MTR1	Q06683
Q9UTF8	Q03327
Q9P7R8	P39993
Q11120	P40032
Q9Y810	P53266
Q9UTQ8	P40481
O94330	P40360
O94412	Q00618
O94275	P40985
Q10191	P34078
O94600	P36097
Q9Y827	P36165
O74531	Q12347
O94536	Q06698
Q9HGN6	P53759
Q9USJ4	Q04958
Q10264	P30620
O59753	P28519
Q9Y7M5	P36520
Q9Y884	P32491
Q9HGN7	P14906
O13958	P39073
O59824	P32795
Q9UTD1	Q06102
O14201	P32907
Q10489	P16387
P40376	P06245
P41893	P40347
Q9P7B3	P42839
Q10074	P36062
O74818	P38836
Q9P6K1	P38166
Q09173	P39966
Q9Y7M6	P35178
O14311	P06844
Q09853	P48563
Q9USP2	P40009
O74496	P43621
P87147	P38879
P78954	P07260
O94363	P25378
P31406	P17255
O59801	P35207
Q01112	P19073
Q9URZ5	P21576
O14234	P50077
P28829	P23561
Q9USN1	Q01846
O59712	P27514
O74860	P53727
P0CT84	P0CX54
Q9UUC1	Q02753
P28189	P05756
P07669	P00942
O14063	Q02821
Q8TFH2	Q12251
O59858	P40581
Q10428	P38903
P0CT59	P0C0W1
Q9USX4	P41056
P78929	Q03048
O59797	P25293
P87123	P38902
O13877	P22139
P0CG72	P0CG63
P50521	P17709
Q9UUK7	P04161
O13970	P32902
O36016	P40454
O94264	P35728
O13663	Q07830
Q9P7H2	Q12090
Q9Y7T1	Q04372
O74835	Q05022
Q9USY2	P49960
P41390	P04046
P79016	P07281
Q10056	P48562
O13821	P40343
Q10146	Q12149
Q09837	Q04174
O13636	Q02776
Q9P7H1	Q00684
Q9URX6	P0C2H9
O59768	Q99385
Q9P7B2	P0CX40
Q9P7X5	P53009
P00046	P00045
Q10243	P40335
Q09127	P41805
Q9P7L8	Q07350
Q9HGM3	P40341
P49731	P53091
Q9UU86	P40528
Q10256	P40087
Q9UU76	Q04373
Q09782	P40367
O94272	P38182
Q9Y7P2	P38342
P09322	P02309
P04909	P04912
P08096	P06786
O14075	P53839
P04913	P02294
Q9P7V8	P40035
Q9P6Q5	P33317
O74907	Q06338
Q10343	P12904
Q9US03	P17119
O74393	P38112
O42832	P25582
O59683	P25038
Q9UTP9	P20448
O74362	P53743
O74880	P32783
P40375	P36013
Q09859	P40029
O74311	Q03503
Q9UST8	Q04740
Q1MTR7	Q07530
Q09750	P22579
Q9P7C3	P32906
P79060	P32911
O13782	P22007
P79071	P05739
O94523	P21147
O14144	P27882
Q09895	P39727
Q10251	P39730
O74842	P31380
P10505	P38042
Q9URX8	P38181
O13830	P34222
O74946	P38121
O42930	P32319
Q11119	P38237
P08463	P20486
O59811	P38344
O74747	P10862
O43051	Q99207
O94710	P43122
Q9US20	P33333
Q10257	P38961
O94740	P06101
Q9UT36	Q05584
Q9UUA6	Q05521
Q9US05	Q06631
O74733	Q06632
Q10429	Q06680
O74828	Q06344
Q9UST3	P39904
Q9USY3	Q02197
O13940	P37303
Q9P6Q2	P32626
P14965	P03962
O43028	P39968
O59866	P33767
O74791	P40010
Q9P7Y7	P32263
Q10367	P38682
Q9Y7Z4	P40094
O94667	P53064
Q10297	P53067
Q9USN0	P30777
P40997	Q01159
Q9P6K7	P46672
P87169	P40957
O14255	P53008
O94424	P41896
O14228	P38972
Q09924	P12754
Q10414	P53255
O14249	P53264
Q9C0U6	P42826
Q10342	P53313
Q9UUK3	P38747
O74749	P38753
O94238	P38754
Q9UTI5	P38759
O42871	P38806
P87157	P38817
Q09746	P38822
Q9UT06	P38860
Q9Y705	P38863
Q10198	P40460
Q09851	P40471
O74846	P32844
O43003	P40185
O60179	P42945
O59810	P06105
P78750	P40362
Q10168	P14907
Q10176	P41543
O13910	P47083
P87324	P46957
Q9UR24	P40352
O74370	P21374
P78825	P47143
Q92370	P00937
O14165	Q86ZR7
Q09903	P32892
O94248	Q12019
O74555	Q12186
O60126	P13099
O13971	Q06132
P53692	Q12749
O60058	P32794
Q9Y7N0	P35817
O13985	Q04199
P87137	Q04500
O94318	Q04272
Q9USQ1	P49956
Q9HDY4	Q04217
P36616	Q03656
Q10169	P48510
Q9UTJ8	P12753
Q9Y7N7	P23503
O43001	P50942
O74736	P50947
O94268	P40991
O94677	P53959
Q9USD4	P53730
Q76PD3	P53734
O42668	P89105
O94432	Q99383
O13741	Q08208
Q10409	Q12094
O59709	Q08446
O74648	P41734
O74477	Q08601
Q10299	Q08685
O60135	P30624
O14102	Q99181
Q9UT44	P54885
P56329	P09064
O13783	P48582
O13872	Q02767
O74400	P37838
Q92371	Q02642
P36613	P37366
O74562	P32855
Q10248	P32331
O74990	Q06096
Q10335	Q06103
Q9C107	Q01454
O94263	P24482
P36595	P20435
O74215	P43550
